prompt,prompt_ko,subtitle,characters,scene_tag,style_tag,shot_type,duration,start_time,end_time,parent_scene
"Juni staring up at Dallae, wondering if it was a dream. Characters: Juni (7-year-old noble boy with red ribbon). Setting: a child's room in a Joseon mansion at dawn, pale light. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",준이는 한참 동안 달래를 올려다보았습니다 방금 들은 노랫소리가 꿈이었는지,준이는 한참 동안 달래를 올려다보았습니다 방금 들은 노랫소리가 꿈이었는지 생시였는지 가늠하는 눈빛이었지요,준이,juni_room_dawn,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",reaction,11.510,1285.010,1296.520,S010
"Dallae placing a fresh cloth on his forehead as if nothing happened. Characters: Dallae (young seamstress in faded white jeogori), Juni (7-year-old noble boy with red ribbon). Setting: a child's room in a Joseon mansion at dawn, pale light. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",달래는 아무 일도 없었다는 듯 준이의 이마에 새 수건을 얹었습니다,달래는 아무 일도 없었다는 듯 준이의 이마에 새 수건을 얹었습니다,"달래,준이",juni_room_dawn,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,6.500,1296.520,1303.020,S010
"Lord Shim touching Juni's forehead and sighing with relief. Characters: Lord Shim (elderly nobleman with white beard), Juni (7-year-old noble boy with red ribbon). Setting: a child's room in a Joseon mansion at dawn, pale light. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",아침이 되어 사랑채에서 건너온 대감은 손자의 이마를 짚어 보고 긴 숨을 ,아침이 되어 사랑채에서 건너온 대감은 손자의 이마를 짚어 보고 긴 숨을 내쉬었어요 열이 한풀 꺾여 있었던 겁니다,"심대감,준이",juni_room_dawn,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.070,1303.020,1314.090,S010
"Lord Shim looking at Dallae kneeling in the corner, her hands red and chapped. Characters: Lord Shim (elderly nobleman with white beard), Dallae (young seamstress in faded white jeogori). Setting: a child's room in a Joseon mansion at dawn, pale light. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",대감은 방 한구석에 무릎을 꿇고 있는 달래를 돌아보았습니다 밤새 찬물에 ,대감은 방 한구석에 무릎을 꿇고 있는 달래를 돌아보았습니다 밤새 찬물에 담갔던 달래의 두 손은 벌겋게 부르터 있었지요,"심대감,달래",juni_room_dawn,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.250,1314.090,1325.340,S010
"Lord Shim asking briefly, Dallae only bowing. Characters: Lord Shim (elderly nobleman with white beard), Dallae (young seamstress in faded white jeogori). Setting: a child's room in a Joseon mansion at dawn, pale light. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","""밤을 새웠느냐."" 달래는 고개만 숙였습니다 대감은 더 묻지 않았어요","""밤을 새웠느냐."" 달래는 고개만 숙였습니다 대감은 더 묻지 않았어요","심대감,달래",juni_room_dawn,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",dialogue,8.460,1325.340,1333.800,S010
"a bowl of warm soup set aside on a tray in the kitchen. Setting: Joseon mansion kitchen with iron cauldrons, clay stove, firewood, steam. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","다만 방을 나서며 부엌에 일러, 침모에게 따뜻한 국 한 그릇을 따로 내주","다만 방을 나서며 부엌에 일러, 침모에게 따뜻한 국 한 그릇을 따로 내주라 하였지요",,kitchen,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,7.340,1333.800,1341.140,S010
"Juni running into the sewing room and closing the door behind him. Characters: Juni (7-year-old noble boy with red ribbon), Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",열이 내리고 사흘이 지나자 준이는 다시 침방으로 뛰어왔습니다 그러고는 문,열이 내리고 사흘이 지나자 준이는 다시 침방으로 뛰어왔습니다 그러고는 문을 꼭 닫고 달래 앞에 바짝 다가앉았어요,"준이,달래",chimbang,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.170,1341.140,1352.310,S011
"Juni whispering close to Dallae, her needle pricking her finger. Characters: Juni (7-year-old noble boy with red ribbon), Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","""달래야."" 준이가 목소리를 낮췄습니다 ""너, 말할 줄 알지?"" 달래의 ","""달래야."" 준이가 목소리를 낮췄습니다 ""너, 말할 줄 알지?"" 달래의 바늘이 손끝을 찔렀어요","준이,달래",chimbang,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",dialogue,10.620,1352.310,1362.930,S011
"close-up of a drop of red blood spreading on white cotton. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","붉은 핏방울이 하얀 무명 위로 동그랗게 번졌습니다 ""나 다 들었어. 노래","붉은 핏방울이 하얀 무명 위로 동그랗게 번졌습니다 ""나 다 들었어. 노래 불렀잖아. 달빛 타고 잠이 온다고.""",달래,chimbang,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,13.150,1362.930,1376.080,S011
"Dallae holding Juni's hands and putting a finger to her lips. Characters: Dallae (young seamstress in faded white jeogori), Juni (7-year-old noble boy with red ribbon). Setting: small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","달래는 한참을 가만히 있었습니다 그러다 준이의 두 손을 잡고, 제 입술 ","달래는 한참을 가만히 있었습니다 그러다 준이의 두 손을 잡고, 제 입술 위에 손가락 하나를 세워 댔어요","달래,준이",chimbang,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,10.540,1376.080,1386.620,S011
"Juni's eyes growing round, nodding eagerly. Characters: Juni (7-year-old noble boy with red ribbon). Setting: small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",쉿 준이의 눈이 동그래졌지요 그러다 곧 무언가를 알아들은 듯 고개를 크게,"쉿 준이의 눈이 동그래졌지요 그러다 곧 무언가를 알아들은 듯 고개를 크게 끄덕였습니다 ""비밀이구나?""",준이,chimbang,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",reaction,11.040,1386.620,1397.660,S011
"Juni holding out his little finger. Characters: Juni (7-year-old noble boy with red ribbon), Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",달래가 끄덕였어요 준이가 새끼손가락을 내밀었습니다,달래가 끄덕였어요 준이가 새끼손가락을 내밀었습니다,"준이,달래",chimbang,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,6.330,1397.660,1403.990,S011
"Juni making a promise with a serious face. Characters: Juni (7-year-old noble boy with red ribbon). Setting: small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","""그럼 약속. 할아버지한테도 말 안 할게. 대신 나 아플 때 또 불러 줘","""그럼 약속. 할아버지한테도 말 안 할게. 대신 나 아플 때 또 불러 줘.""",준이,chimbang,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",dialogue,9.460,1403.990,1413.450,S011
"little fingers hooked together, Dallae whispering in his ear. Characters: Dallae (young seamstress in faded white jeogori), Juni (7-year-old noble boy with red ribbon). Setting: small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",달래는 그 작은 새끼손가락에 제 손가락을 걸었습니다 그리고 준이의 귓가에,"달래는 그 작은 새끼손가락에 제 손가락을 걸었습니다 그리고 준이의 귓가에 대고, 숨소리만큼 작게 속삭였지요","달래,준이",chimbang,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.490,1413.450,1424.940,S011
"Dallae and Juni sharing a secret smile. Characters: Dallae (young seamstress in faded white jeogori), Juni (7-year-old noble boy with red ribbon). Setting: small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","""예, 도련님."" 이 집에서 달래의 목소리를 들은 사람은, 그날부터 딱 ","""예, 도련님."" 이 집에서 달래의 목소리를 들은 사람은, 그날부터 딱 한 사람이 되었습니다","달래,준이",chimbang,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,9.160,1424.940,1434.100,S011
"Dallae carrying an ironed robe into the empty men's quarters. Characters: Dallae (young seamstress in faded white jeogori). Setting: Joseon nobleman's study with desk, inkstone, cabinets, ledgers, paper doors, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","며칠 뒤, 달래는 다려 놓은 대감의 도포를 들고 사랑채로 건너갔습니다 대","며칠 뒤, 달래는 다려 놓은 대감의 도포를 들고 사랑채로 건너갔습니다 대감은 출타하고 없었고, 방은 비어 있었어요",달래,sarangchae,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.710,1434.100,1445.810,S012
"Dallae noticing an open ledger on the desk. Characters: Dallae (young seamstress in faded white jeogori). Setting: Joseon nobleman's study with desk, inkstone, cabinets, ledgers, paper doors, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","도포를 횃대에 걸고 돌아서던 달래의 눈에, 서안 위에 펼쳐진 책 한 권이","도포를 횃대에 걸고 돌아서던 달래의 눈에, 서안 위에 펼쳐진 책 한 권이 들어왔습니다 올가을 추수를 적은 추수기였지요",달래,sarangchae,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.240,1445.810,1457.050,S012
"quiet scholar's room with faint ink fragrance. Setting: Joseon nobleman's study with desk, inkstone, cabinets, ledgers, paper doors, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",사랑채 안에서는 은은한 묵향이 났습니다,사랑채 안에서는 은은한 묵향이 났습니다,,sarangchae,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,4.350,1457.050,1461.400,S012
"close-up of an inkstone and water dropper on a cabinet, pipe on the desk. Setting: Joseon nobleman's study with desk, inkstone, cabinets, ledgers, paper doors, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","문갑 위에는 벼루와 연적이 가지런했고, 서안 곁에는 대감이 즐겨 피우는 ","문갑 위에는 벼루와 연적이 가지런했고, 서안 곁에는 대감이 즐겨 피우는 담배 냄새가 희미하게 배어 있었어요",,sarangchae,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,10.250,1461.400,1471.650,S012
"Dallae pausing, remembering her father's study. Characters: Dallae (young seamstress in faded white jeogori). Setting: Joseon nobleman's study with desk, inkstone, cabinets, ledgers, paper doors, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",어린 시절 아버지의 사랑방에서 맡던 것과 꼭 닮은 냄새였지요 달래는 저도,어린 시절 아버지의 사랑방에서 맡던 것과 꼭 닮은 냄새였지요 달래는 저도 모르게 걸음을 멈추었습니다,달래,sarangchae,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",reaction,10.190,1471.650,1481.840,S012
"close-up of the ledger with rice numbers, Dallae holding her breath. Characters: Dallae (young seamstress in faded white jeogori). Setting: Joseon nobleman's study with desk, inkstone, cabinets, ledgers, paper doors, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","달래는 그 자리에 선 채 숨을 죽였습니다 올해 양주에서 올라온 쌀, 백오","달래는 그 자리에 선 채 숨을 죽였습니다 올해 양주에서 올라온 쌀, 백오십 섬 달래는 추수 날 아침을 떠올렸어요",달래,sarangchae,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,12.540,1481.840,1494.380,S012
"memory of rice sacks piled in front of the storehouse, Dallae counting. Characters: Dallae (young seamstress in faded white jeogori). Setting: memory of rice sacks in front of a storehouse, faded warm tone. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","곳간 앞에 쌓이던 섬을, 달래는 버릇처럼 세고 있었습니다 아버지 곁에서 ","곳간 앞에 쌓이던 섬을, 달래는 버릇처럼 세고 있었습니다 아버지 곁에서 책을 읽던 어린 시절부터 몸에 밴 버릇이었지요",달래,flashback_harvest,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",narration,12.140,1494.380,1506.520,S012
"Dallae's eyes widening at the discrepancy, footsteps outside. Characters: Dallae (young seamstress in faded white jeogori). Setting: Joseon nobleman's study with desk, inkstone, cabinets, ledgers, paper doors, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",그날 곳간에 들어간 섬은 분명 백팔십 섬이었습니다 서른 섬이 장부에서 사,그날 곳간에 들어간 섬은 분명 백팔십 섬이었습니다 서른 섬이 장부에서 사라져 있었던 겁니다 그때 마당에서 발소리가 들렸어요,달래,sarangchae,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",reaction,12.700,1506.520,1519.220,S012
"Dallae slipping out and closing the door with trembling hands. Characters: Dallae (young seamstress in faded white jeogori). Setting: Joseon nobleman's study with desk, inkstone, cabinets, ledgers, paper doors, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",달래는 얼른 장부에서 눈을 떼고 방을 빠져나왔습니다 방문을 닫는 손이 가,달래는 얼른 장부에서 눈을 떼고 방을 빠져나왔습니다 방문을 닫는 손이 가늘게 흔들렸지요,달래,sarangchae,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,9.160,1519.220,1528.380,S012
"a figure crossing the courtyard glancing toward the men's quarters, Dallae vanishing behind a wall. Setting: stone-paved courtyard of a Joseon noble mansion, wooden pillars, tiled roofs, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","마당을 가로질러 오던 누군가가 사랑채 쪽을 돌아보았지만, 달래는 이미 담","마당을 가로질러 오던 누군가가 사랑채 쪽을 돌아보았지만, 달래는 이미 담 모퉁이를 돌아간 뒤였습니다 누가 이 숫자를 고쳤을까요",,courtyard,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,13.180,1528.380,1541.560,S012
"the ledger alone on the desk, ominous. Setting: Joseon nobleman's study with desk, inkstone, cabinets, ledgers, paper doors, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","곽 마름이 처음부터 적게 적어 올린 걸까요, 아니면 장부로 옮기는 사이에","곽 마름이 처음부터 적게 적어 올린 걸까요, 아니면 장부로 옮기는 사이에 무슨 일이 생긴 걸까요",,sarangchae,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",narration,8.380,1541.560,1549.940,S012
"Dallae awake in bed at midnight, a creaking sound. Characters: Dallae (young seamstress in faded white jeogori). Setting: simple servants' quarters room at night, dim. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",그 밤 달래는 잠을 이루지 못했습니다 삼경쯤 되었을까요 뒷마당 쪽에서 삐,"그 밤 달래는 잠을 이루지 못했습니다 삼경쯤 되었을까요 뒷마당 쪽에서 삐걱, 하는 소리가 들렸어요",달래,servant_room_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.020,1549.940,1560.960,S013
"a back gate half open under moonlight. Setting: back gate of a Joseon mansion half open at night, dark alley beyond. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","달래는 살그머니 방문을 열었습니다 달빛 아래, 뒷문이 반쯤 열려 있었지요","달래는 살그머니 방문을 열었습니다 달빛 아래, 뒷문이 반쯤 열려 있었지요",,back_gate_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,8.550,1560.960,1569.510,S013
"an ox cart loaded with heavy sacks disappearing down a dark alley. Setting: back gate of a Joseon mansion half open at night, dark alley beyond. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",그 너머 골목에서 달구지 바퀴가 구르는 소리가 멀어져 가고 있었습니다 무,그 너머 골목에서 달구지 바퀴가 구르는 소리가 멀어져 가고 있었습니다 무거운 짐을 실은 소리였어요,,back_gate_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,9.560,1569.510,1579.070,S013
"Dallae hurrying toward the storehouse, a large shadow appearing from the corner. Characters: Dallae (young seamstress in faded white jeogori). Setting: earthen-walled storehouse at night under moonlight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",달래는 신발도 제대로 꿰지 못하고 곳간 쪽으로 걸음을 옮겼습니다 그런데 ,달래는 신발도 제대로 꿰지 못하고 곳간 쪽으로 걸음을 옮겼습니다 그런데 곳간 모퉁이에서 커다란 그림자 하나가 불쑥 나타났어요,달래,storehouse_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,12.750,1579.070,1591.820,S013
"Kwak revealed in moonlight at the storehouse corner. Characters: Kwak (sunburnt broad-shouldered farm manager). Setting: earthen-walled storehouse at night under moonlight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",곽 마름이었습니다 추수한 곡식을 올려 보내고 며칠 본가에 머물던 참이었지,곽 마름이었습니다 추수한 곡식을 올려 보내고 며칠 본가에 머물던 참이었지요,곽마름,storehouse_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,8.400,1591.820,1600.220,S013
"Kwak glaring and scolding Dallae. Characters: Kwak (sunburnt broad-shouldered farm manager), Dallae (young seamstress in faded white jeogori). Setting: earthen-walled storehouse at night under moonlight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","곽 마름은 달래를 보자 흠칫하더니 이내 험상궂게 눈을 부라렸습니다 ""이 ","곽 마름은 달래를 보자 흠칫하더니 이내 험상궂게 눈을 부라렸습니다 ""이 밤중에 침모가 여긴 웬일이냐. 썩 들어가!""","곽마름,달래",storehouse_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",dialogue,11.850,1600.220,1612.070,S013
"a rice sack on Kwak's shoulder, Dallae stepping back. Characters: Kwak (sunburnt broad-shouldered farm manager), Dallae (young seamstress in faded white jeogori). Setting: earthen-walled storehouse at night under moonlight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",곽 마름의 어깨에는 쌀자루 하나가 걸려 있었어요 달래는 고개를 숙이고 뒷,곽 마름의 어깨에는 쌀자루 하나가 걸려 있었어요 달래는 고개를 숙이고 뒷걸음질 쳤습니다,"곽마름,달래",storehouse_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,8.940,1612.070,1621.010,S013
"Dallae back in her room, pulling the blanket over her head. Characters: Dallae (young seamstress in faded white jeogori). Setting: simple servants' quarters room at night, dim. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","방으로 돌아와 문고리를 걸고 나서도, 가슴이 한참 동안 가라앉지 않았지요","방으로 돌아와 문고리를 걸고 나서도, 가슴이 한참 동안 가라앉지 않았지요 달래는 이불을 머리끝까지 끌어 올렸습니다",달래,servant_room_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.580,1621.010,1632.590,S013
"paper window trembling in the wind at night. Setting: simple servants' quarters room at night, dim. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",문풍지가 바람에 부르르 떨며 우는 소리가 밤새 이어졌어요,문풍지가 바람에 부르르 떨며 우는 소리가 밤새 이어졌어요,,servant_room_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,6.130,1632.590,1638.720,S013
"night patrol walking the alley with wooden clappers, a dog in the distance. Setting: Bukchon alley and tiled roofs at night. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","행랑 쪽에서 개가 두어 번 짖다가 잠잠해졌고, 멀리서 딱딱이를 치며 도는","행랑 쪽에서 개가 두어 번 짖다가 잠잠해졌고, 멀리서 딱딱이를 치며 도는 순라꾼의 소리가 들렸다 사라졌지요",,bukchon_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,9.590,1638.720,1648.310,S013
"Dallae lying with eyes closed, counting in her mind. Characters: Dallae (young seamstress in faded white jeogori). Setting: simple servants' quarters room at night, dim. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","달래는 눈을 감은 채, 곳간 앞에서 따라 세던 섬의 수를 처음부터 다시 ","달래는 눈을 감은 채, 곳간 앞에서 따라 세던 섬의 수를 처음부터 다시 세어 보았습니다 몇 번을 세어도 셈은 똑같았어요",달래,servant_room_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.780,1648.310,1660.090,S013
"montage of the ledger, the night cart, and Kwak with a rice sack. Characters: Dallae (young seamstress in faded white jeogori). Setting: simple servants' quarters room at night, dim. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",장부에서 사라진 서른 섬 한밤중의 달구지 그리고 쌀자루를 멘 곽 마름 모,장부에서 사라진 서른 섬 한밤중의 달구지 그리고 쌀자루를 멘 곽 마름 모든 것이 한 사람을 가리키는 듯했습니다,달래,servant_room_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",narration,13.090,1660.090,1673.180,S013
"morning, Dallae hesitating with needlework in her hands. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",날이 밝자 달래는 오래 망설였습니다 대감에게 알려야 했어요 하지만 어떻게,날이 밝자 달래는 오래 망설였습니다 대감에게 알려야 했어요 하지만 어떻게 알린단 말입니까,달래,chimbang,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,10.320,1673.180,1683.500,S014
"Dallae imagining being questioned by the household. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",입을 열면 말 못 하는 침모가 말을 하게 되는 셈이었습니다 그러면 사람들,"입을 열면 말 못 하는 침모가 말을 하게 되는 셈이었습니다 그러면 사람들은 물을 테지요 너는 누구냐고, 어디서 왔느냐고",달래,chimbang,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",narration,11.650,1683.500,1695.150,S014
"Dallae's troubled face, holding a secret. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",그 물음에 답하는 순간 모든 것이 끝이었습니다 달래에게는 누구에게도 밝힐,그 물음에 답하는 순간 모든 것이 끝이었습니다 달래에게는 누구에게도 밝힐 수 없는 이름이 있었으니까요,달래,chimbang,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",reaction,9.890,1695.150,1705.040,S014
"Dallae looking at a brush and paper, then turning away. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",글로 써서 알리는 것도 마찬가지였습니다 천한 침모가 장부의 숫자를 읽고 ,"글로 써서 알리는 것도 마찬가지였습니다 천한 침모가 장부의 숫자를 읽고 글을 쓴다면, 그 또한 정체를 드러내는 일이었지요",달래,chimbang,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,12.270,1705.040,1717.310,S014
"Dallae sewing a luxurious indigo silk robe. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",마침 달래는 대감의 환갑 잔치에 입을 새 도포를 짓고 있었습니다 환갑은 ,마침 달래는 대감의 환갑 잔치에 입을 새 도포를 짓고 있었습니다 환갑은 이듬해 봄이었지요,달래,chimbang,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,9.160,1717.310,1726.470,S014
"indigo silk outer layer and white ramie lining spread out, sewing basket nearby. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","쪽빛 명주로 겉감을 대고, 안감은 흰 모시로 넉넉하게 댈 참이었어요 달래","쪽빛 명주로 겉감을 대고, 안감은 흰 모시로 넉넉하게 댈 참이었어요 달래는 반짇고리를 끌어당겼습니다",달래,chimbang,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.060,1726.470,1737.530,S014
"Dallae choosing a skein of red thread and a skein of blue thread. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",그리고 붉은 실과 푸른 실을 한 타래씩 골라냈어요 붉은 실은 곳간에 실제,그리고 붉은 실과 푸른 실을 한 타래씩 골라냈어요 붉은 실은 곳간에 실제로 들어온 섬 수 푸른 실은 장부에 적힌 섬 수,달래,chimbang,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,13.150,1737.530,1750.680,S014
"close-up of a big knot, small stitches, and a tiny butterfly knot on white lining. Setting: small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","열 섬은 굵은 매듭 하나, 한 섬은 가는 땀 하나 그리고 한밤중 뒷문으로","열 섬은 굵은 매듭 하나, 한 섬은 가는 땀 하나 그리고 한밤중 뒷문으로 곡식이 나간 날에는 작은 나비 매듭을 하나 지었습니다",,chimbang,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,12.260,1750.680,1762.940,S014
